R,sphere,ball
0.25,0.9933336512,0.9964922591
0.5,0.9732705412,0.9811415034
0.75,0.9388367985,0.958476345
1,0.9088200282,0.9150862373
1.25,0.8386534074,0.9322045702
1.5,0.7720264354,0.9216294019
1.75,0.6967372442,0.7764537838
2,0.7117907709,0.7926384336
2.25,0.583642747,0.6904700955
2.5,0.5616100841,0.670861508
2.75,0.504600617,0.6925862416
3,0.511122603,0.6405650287
3.25,0.5000434388,0.6553640781
3.5,0.5000719396,0.6762708548
3.75,0.500641545,0.6450069831
4,0.5003147499,0.6755526702
4.25,0.5038998238,0.6405378671
4.5,0.5004682909,0.6406243562
4.75,0.576507244,0.7051336508
5,0.5637892382,0.6445812289
5.25,0.5560625764,0.6634154062
5.5,0.5819051711,0.6524595065
5.75,0.5543471765,0.6404346422
6,0.5775698996,0.6457729137
6.25,0.588317923,0.6445899999
6.5,0.6451915495,0.6489926345
6.75,0.5743392412,0.6619464234
7,0.588077215,0.6668362981
7.25,0.5942668225,0.6428740677
7.5,0.6244756561,0.6544783562
7.75,0.602142925,0.6474161236
8,0.644944401,0.6405996525
8.25,0.6445203435,0.6539565778
8.5,0.6205468601,0.6574554672
8.75,0.6094917307,0.6562742554
9,0.7588315634,0.7371265956
9.25,0.6243891156,0.6658476774
9.5,0.6245388381,0.6437822009
9.75,0.6160590911,0.7258222351
10,0.6576373871,0.6574613423
